Dataset,AUC,AP,RunTime,Memory
4_breastw.npz,0.882242074710694,0.7431078946716254,0.1457,3020
37_Stamps.npz,0.9070884225910847,0.34913352310520185,0.058,3020
22_magic.gamma.npz,0.6687187825911349,0.591135199876058,0.059,3020
44_Wilt.npz,0.8597950929433982,0.2054373398379253,0.1305,3020
10_cover.npz,0.9360987939564183,0.07490284996800466,0.0591,3020
14_glass.npz,0.667750677506775,0.09847216311605692,0.0744,3020
16_http.npz,0.9939461281898906,0.39007562192440465,0.1124,3020
38_thyroid.npz,0.9150569784332465,0.17907915288363613,0.1171,3020
12_fault.npz,0.6455275826025002,0.47554477798107475,0.0834,3020
2_annthyroid.npz,0.672349538324619,0.12266978760236133,0.1387,3020
36_speech.npz,0.4958417184850198,0.022277058942187237,0.231,3020
21_Lymphography.npz,0.9964788732394366,0.9305555555555556,0.0569,3020
42_WBC.npz,0.9934272300469483,0.9243434343434344,0.057,3020
29_Pima.npz,0.6617164179104479,0.48835747960603326,0.0645,3020
47_yeast.npz,0.40012395551329494,0.293151728306455,0.0749,3020
40_vowels.npz,0.8746088193456615,0.2176803105463838,0.1723,3020
28_pendigits.npz,0.7616833940560482,0.06747204875276326,0.2469,3020
6_cardio.npz,0.9032546003845098,0.456464888600227,0.0825,3020
23_mammography.npz,0.8752586285818915,0.15596005564933252,0.0896,3020
45_wine.npz,0.8142857142857143,0.2431179928547101,0.0698,3020
13_fraud.npz,0.9522653792477112,0.148358098834221,0.0597,3020
25_musk.npz,0.9914744180386293,0.8077672544063278,0.184,3020
27_PageBlocks.npz,0.9079511550678022,0.5075618188522156,0.1078,3020
9_census.npz,0.6746644525583552,0.09101142602435762,0.2216,3020
30_satellite.npz,0.6689145282616918,0.5133458399253622,0.1148,3020
18_Ionosphere.npz,0.9311111111111111,0.9278433495267931,0.1004,3020
24_mnist.npz,0.8499685436973572,0.3908988391786997,0.1714,3020
20_letter.npz,0.83956,0.23987616000965034,0.1516,3020
46_WPBC.npz,0.4811892348879808,0.2267120055893563,0.0567,3020
35_SpamBase.npz,0.5511078776547222,0.41026490720053577,0.0583,3020
8_celeba.npz,0.7845762692335687,0.11279866905793887,0.0603,3020
15_Hepatitis.npz,0.7474167623421355,0.34694251326624714,0.0582,3020
41_Waveform.npz,0.6436434340412803,0.04503810889954445,0.0575,3020
1_ALOI.npz,0.549223648032824,0.0370882730948488,0.0682,3020
33_skin.npz,0.7896625345659095,0.35069053589790317,0.1641,3020
5_campaign.npz,0.7346669076896514,0.28580356676349383,0.0613,3020
7_Cardiotocography.npz,0.5614856348181174,0.32728971806502616,0.0878,3020
19_landsat.npz,0.5500811208290116,0.21425399123938596,0.1214,3020
34_smtp.npz,0.9136107198172249,0.34511331649006954,0.1216,3020
3_backdoor.npz,0.9034643000595577,0.5347299998933625,0.2143,3020
43_WDBC.npz,0.9859943977591037,0.5560989245196407,0.0582,3020
11_donors.npz,0.7117455508826724,0.09895549089428446,0.1881,3020
26_optdigits.npz,0.5764758520858007,0.030783138024792638,0.1015,3020
39_vertebral.npz,0.5276190476190477,0.13196337929217056,0.146,3020
31_satimage-2.npz,0.9418485792634382,0.2990656438410722,0.1316,3020
32_shuttle.npz,0.9898023676564118,0.9153415351844483,0.0583,3020
17_InternetAds.npz,0.6146133754149209,0.29530866726008,0.0628,3020
